"P_ID","Record Type","Permit Type","Primary","Record Status","Record Date Opened","Record Date Status","Date Updated","Date Assigned","Date Status","Date Due","Task","Status","Task Active","Planner F","Planner L","Description","Notes","Address"
"Y18-001","Planning Project","Design Review Residential","Yes","Close Out","1/3/2018 12:00:00 AM","4/5/2018 12:00:00 AM","1/4/2018 10:37:41 AM","1/3/2018 12:00:00 AM","1/4/2018 12:00:00 AM","1/3/2018 12:00:00 AM","Intake Review","Application Accepted","N","Ozzy","Arce","Forouzandeh SFR Addition DR-OH","","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Yes","Close Out","1/3/2018 12:00:00 AM","4/5/2018 12:00:00 AM","1/19/2018 3:36:11 PM","1/19/2018 12:00:00 AM","1/19/2018 12:00:00 AM","1/18/2018 12:00:00 AM","Engineering Review","Review Complete","N","Carlton","Thompson","Forouzandeh SFR Addition DR-OH","","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Yes","Close Out","1/3/2018 12:00:00 AM","4/5/2018 12:00:00 AM","1/26/2018 11:35:29 AM","1/12/2018 12:00:00 AM","1/26/2018 12:00:00 AM","1/4/2018 12:00:00 AM","Planning Review","Comments","Y","Greg","Kapovich","Forouzandeh SFR Addition DR-OH","","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Yes","Close Out","1/3/2018 12:00:00 AM","4/5/2018 12:00:00 AM","1/26/2018 11:36:09 AM","","1/26/2018 12:00:00 AM","1/26/2018 11:36:09 AM","CEQA Review","Project Exempt","Y","Greg","Kapovich","Forouzandeh SFR Addition DR-OH","","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Yes","Close Out","1/3/2018 12:00:00 AM","4/5/2018 12:00:00 AM","1/26/2018 11:36:34 AM","1/4/2018 12:00:00 AM","1/26/2018 12:00:00 AM","1/4/2018 12:00:00 AM","Other Review","Review Complete","N","Greg","Kapovich","Forouzandeh SFR Addition DR-OH","","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Yes","Close Out","1/3/2018 12:00:00 AM","4/5/2018 12:00:00 AM","1/26/2018 11:36:57 AM","1/4/2018 12:00:00 AM","1/26/2018 12:00:00 AM","1/18/2018 12:00:00 AM","Traffic Engineering Review","No Comments","N","Greg","Kapovich","Forouzandeh SFR Addition DR-OH","","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Yes","Close Out","1/3/2018 12:00:00 AM","4/5/2018 12:00:00 AM","1/26/2018 11:37:11 AM","1/4/2018 12:00:00 AM","1/26/2018 12:00:00 AM","1/18/2018 12:00:00 AM","Building Review","Review Complete","N","Greg","Kapovich","Forouzandeh SFR Addition DR-OH","","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Yes","Close Out","1/3/2018 12:00:00 AM","4/5/2018 12:00:00 AM","1/26/2018 11:37:27 AM","1/4/2018 12:00:00 AM","1/26/2018 12:00:00 AM","1/18/2018 12:00:00 AM","Arborist Review","No Comments","N","Greg","Kapovich","Forouzandeh SFR Addition DR-OH","","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Yes","Close Out","1/3/2018 12:00:00 AM","4/5/2018 12:00:00 AM","1/26/2018 11:37:45 AM","1/26/2018 12:00:00 AM","1/26/2018 12:00:00 AM","1/26/2018 12:00:00 AM","Consolidated Comments","Deemed Incomplete","N","Greg","Kapovich","Forouzandeh SFR Addition DR-OH","","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Yes","Close Out","1/3/2018 12:00:00 AM","4/5/2018 12:00:00 AM","2/21/2018 11:16:09 AM","1/26/2018 12:00:00 AM","2/20/2018 12:00:00 AM","2/20/2018 12:00:00 AM","Resubmittal","Route for Review","N","Greg","Kapovich","Forouzandeh SFR Addition DR-OH","","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Yes","Close Out","1/3/2018 12:00:00 AM","4/5/2018 12:00:00 AM","3/21/2018 11:40:55 AM","2/21/2018 12:00:00 AM","3/21/2018 12:00:00 AM","3/20/2018 12:00:00 AM","Planning Review","Review Complete","N","Greg","Kapovich","Forouzandeh SFR Addition DR-OH","","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Yes","Close Out","1/3/2018 12:00:00 AM","4/5/2018 12:00:00 AM","3/21/2018 11:41:17 AM","3/21/2018 12:00:00 AM","3/19/2018 12:00:00 AM","3/21/2018 12:00:00 AM","Consolidated Comments","Deemed Complete","N","Greg","Kapovich","Forouzandeh SFR Addition DR-OH","","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Yes","Close Out","1/3/2018 12:00:00 AM","4/5/2018 12:00:00 AM","3/21/2018 11:41:33 AM","3/21/2018 12:00:00 AM","3/21/2018 12:00:00 AM","3/21/2018 12:00:00 AM","Staff Analysis","Staff Level Decision","N","Greg","Kapovich","Forouzandeh SFR Addition DR-OH","","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Yes","Close Out","1/3/2018 12:00:00 AM","4/5/2018 12:00:00 AM","4/5/2018 8:06:24 AM","3/21/2018 12:00:00 AM","4/5/2018 12:00:00 AM","4/5/2018 12:00:00 AM","Staff Level Decision","Approved","N","Greg","Kapovich","Forouzandeh SFR Addition DR-OH","","15 GROVER CT, WALCR, CA 94596"
"Y18-004","Planning Project","Use Permit Administrative","No","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","2/15/2018 4:26:15 PM","1/23/2018 12:00:00 AM","1/23/2018 12:00:00 AM","1/23/2018 12:00:00 AM","Intake Review","Application Accepted","N","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Yes","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","2/15/2018 4:26:15 PM","1/23/2018 12:00:00 AM","1/23/2018 12:00:00 AM","1/23/2018 12:00:00 AM","Intake Review","Application Accepted","N","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Use Permit Administrative","No","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","2/15/2018 4:26:45 PM","2/15/2018 12:00:00 AM","2/15/2018 12:00:00 AM","2/15/2018 12:00:00 AM","Planning Review","Comments","Y","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Yes","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","2/15/2018 4:26:45 PM","2/15/2018 12:00:00 AM","2/15/2018 12:00:00 AM","2/15/2018 12:00:00 AM","Planning Review","Comments","Y","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
